"rows","columns","groups","workload","route","median_ms","iterations","gc_count","bench_allocated_bytes","values_metadata_groups_source","first_r_allocated_bytes","first_r_largest_allocation_bytes","first_owned_capture","first_compact_copy","first_staged_new","first_old_journal","first_native_scratch_allocated","first_mutation_target_copy","first_validation_scan_calls","first_validation_scanned_values","warm_r_allocated_bytes","warm_r_largest_allocation_bytes","warm_owned_capture","warm_compact_copy","warm_staged_new","warm_old_journal","warm_native_scratch_allocated","warm_mutation_target_copy","warm_validation_scan_calls","warm_validation_scanned_values"
1000000,16,128,"reframe_half","predecessor_safe_reference",79.2445130064152,7,25,162284360,TRUE,162284360,8000048,23999488,0,0,0,0,0,0,0,162284360,8000048,23999488,0,0,0,0,0,0,0
100000,8,16,"group_modify_identity","predecessor_safe_reference",49.6177489985712,7,10,42917008,TRUE,44593240,800048,4800000,0,0,0,0,0,74,600032,42917008,800048,4400000,0,0,0,0,0,74,600032
100000,8,16,"group_modify_identity","public",49.0279230289161,7,10,42916728,TRUE,43333312,800048,4800000,0,0,0,0,0,74,600032,42916728,800048,4400000,0,0,0,0,0,74,600032
1000000,8,16,"group_modify_identity","public",352.165851014433,7,32,417316728,TRUE,421316776,8000048,4.8e+07,0,0,0,0,0,74,6000032,417316728,8000048,4.4e+07,0,0,0,0,0,74,6000032
1000000,8,16,"group_modify_identity","predecessor_safe_reference",354.28436199436,7,35,417317008,TRUE,421317056,8000048,4.8e+07,0,0,0,0,0,74,6000032,417317008,8000048,4.4e+07,0,0,0,0,0,74,6000032
100000,16,16,"group_modify_identity","predecessor_safe_reference",86.6334510210436,7,17,65769680,TRUE,66569776,800048,8800000,0,0,0,0,0,137,900032,65769680,800048,8e+06,0,0,0,0,0,137,900032
100000,16,16,"group_modify_identity","public",89.0185850148555,7,24,65769400,TRUE,66569496,800048,8800000,0,0,0,0,0,137,900032,65769400,800048,8e+06,0,0,0,0,0,137,900032
1000000,16,16,"group_modify_identity","public",592.736015998526,7,32,641769400,TRUE,649769496,8000048,8.8e+07,0,0,0,0,0,137,9000032,641769400,8000048,8e+07,0,0,0,0,0,137,9000032
1000000,16,16,"group_modify_identity","predecessor_safe_reference",594.285856990609,7,35,641769680,TRUE,649769776,8000048,8.8e+07,0,0,0,0,0,137,9000032,641769680,8000048,8e+07,0,0,0,0,0,137,9000032
100000,8,128,"group_modify_identity","predecessor_safe_reference",167.8354270407,7,71,43173544,TRUE,43573592,800048,4800000,0,0,0,0,0,522,600256,43173544,800048,4400000,0,0,0,0,0,522,600256
100000,8,128,"group_modify_identity","public",169.586455042008,7,70,43173264,TRUE,43573312,800048,4800000,0,0,0,0,0,522,600256,43173264,800048,4400000,0,0,0,0,0,522,600256
1000000,8,128,"group_modify_identity","public",479.651086992817,7,82,417571856,TRUE,421571904,8000048,4.8e+07,0,0,0,0,0,522,6000256,417571856,8000048,4.4e+07,0,0,0,0,0,522,6000256
1000000,8,128,"group_modify_identity","predecessor_safe_reference",479.700409981888,7,83,417572136,TRUE,421572184,8000048,4.8e+07,0,0,0,0,0,522,6000256,417572136,8000048,4.4e+07,0,0,0,0,0,522,6000256
100000,16,128,"group_modify_identity","predecessor_safe_reference",318.678363022627,7,143,66254888,TRUE,67054984,800048,8800000,0,0,0,0,0,1033,900256,66254888,800048,8e+06,0,0,0,0,0,1033,900256
100000,16,128,"group_modify_identity","public",314.308911008993,7,140,66254608,TRUE,67054704,800048,8800000,0,0,0,0,0,1033,900256,66254608,800048,8e+06,0,0,0,0,0,1033,900256
1000000,16,128,"group_modify_identity","public",829.602035984863,7,146,642252432,TRUE,650252528,8000048,8.8e+07,0,0,0,0,0,1033,9000256,642252432,8000048,8e+07,0,0,0,0,0,1033,9000256
1000000,16,128,"group_modify_identity","predecessor_safe_reference",841.21229298762,7,142,642252712,TRUE,650252808,8000048,8.8e+07,0,0,0,0,0,1033,9000256,642252712,8000048,8e+07,0,0,0,0,0,1033,9000256
100000,8,16,"group_nest","predecessor_safe_reference",9.12163898465224,7,3,6657800,TRUE,7431880,400048,8e+05,0,0,0,0,0,0,0,6657800,50048,4e+05,0,0,0,0,0,0,0
100000,8,16,"group_nest","public",6.50214898632839,7,1,4888464,TRUE,5288512,400048,4e+05,0,0,0,0,0,0,0,4888464,50048,0,0,0,0,0,0,0,0
1000000,8,16,"group_nest","public",41.0988919902593,7,7,48088464,TRUE,52088512,4000048,4e+06,0,0,0,0,0,0,0,48088464,500048,0,0,0,0,0,0,0,0
1000000,8,16,"group_nest","predecessor_safe_reference",44.780363998143,7,9,53457800,TRUE,57457848,4000048,8e+06,0,0,0,0,0,0,0,53457800,500048,4e+06,0,0,0,0,0,0,0
100000,16,16,"group_nest","predecessor_safe_reference",16.1684320191853,7,4,11869824,TRUE,12669920,400048,1600000,0,0,0,0,0,0,0,11869824,50048,8e+05,0,0,0,0,0,0,0
100000,16,16,"group_nest","public",11.9813890196383,7,3,9697544,TRUE,10497640,400048,8e+05,0,0,0,0,0,0,0,9697544,50048,0,0,0,0,0,0,0,0
1000000,16,16,"group_nest","public",94.7867519862484,7,9,96097544,TRUE,104097640,4000048,8e+06,0,0,0,0,0,0,0,96097544,500048,0,0,0,0,0,0,0,0
1000000,16,16,"group_nest","predecessor_safe_reference",100.967173988465,7,7,105469824,TRUE,113469920,4000048,1.6e+07,0,0,0,0,0,0,0,105469824,500048,8e+06,0,0,0,0,0,0,0
100000,8,128,"group_nest","predecessor_safe_reference",43.887056002859,7,21,15726696,TRUE,16126744,400048,8e+05,0,0,0,0,0,0,0,15726696,40112,4e+05,0,0,0,0,0,0,0
100000,8,128,"group_nest","public",22.4364710447844,7,10,4934080,TRUE,5334128,400048,4e+05,0,0,0,0,0,0,0,4934080,40064,0,0,0,0,0,0,0,0
1000000,8,128,"group_nest","public",65.8200879988726,7,12,48133568,TRUE,52133616,4000048,4e+06,0,0,0,0,0,0,0,48133568,62552,0,0,0,0,0,0,0,0
1000000,8,128,"group_nest","predecessor_safe_reference",89.3928739824332,7,20,62526056,TRUE,66526104,4000048,8e+06,0,0,0,0,0,0,0,62526056,62552,4e+06,0,0,0,0,0,0,0
100000,16,128,"group_nest","predecessor_safe_reference",72.9812710196711,7,35,21003360,TRUE,21803456,400048,1600000,0,0,0,0,0,0,0,21003360,40176,8e+05,0,0,0,0,0,0,0
100000,16,128,"group_nest","public",46.5831750188954,7,20,9787704,TRUE,10587800,400048,8e+05,0,0,0,0,0,0,0,9787704,40064,0,0,0,0,0,0,0,0
1000000,16,128,"group_nest","public",131.032760982634,7,18,96186680,TRUE,104186776,4000048,8e+06,0,0,0,0,0,0,0,96186680,62552,0,0,0,0,0,0,0,0
1000000,16,128,"group_nest","predecessor_safe_reference",182.860573986545,7,32,114602080,TRUE,122602176,4000048,1.6e+07,0,0,0,0,0,0,0,114602080,62552,8e+06,0,0,0,0,0,0,0
100000,8,16,"nest_by","predecessor_safe_reference",9.63389300159179,7,3,6661288,TRUE,7391616,400048,8e+05,0,0,0,0,0,0,0,6661288,50048,4e+05,0,0,0,0,0,0,0
100000,8,16,"nest_by","public",7.09062200621702,7,2,4891952,TRUE,5292000,400048,4e+05,0,0,0,0,0,0,0,4891952,50048,0,0,0,0,0,0,0,0
1000000,8,16,"nest_by","public",41.6515309771057,7,7,48091952,TRUE,52092000,4000048,4e+06,0,0,0,0,0,0,0,48091952,500048,0,0,0,0,0,0,0,0
1000000,8,16,"nest_by","predecessor_safe_reference",45.2673620311543,7,8,53461288,TRUE,57461336,4000048,8e+06,0,0,0,0,0,0,0,53461288,500048,4e+06,0,0,0,0,0,0,0
100000,16,16,"nest_by","predecessor_safe_reference",16.5570300305262,7,4,11873312,TRUE,12673408,400048,1600000,0,0,0,0,0,0,0,11873312,50048,8e+05,0,0,0,0,0,0,0
100000,16,16,"nest_by","public",12.7017180202529,7,3,9701032,TRUE,10501128,400048,8e+05,0,0,0,0,0,0,0,9701032,50048,0,0,0,0,0,0,0,0
1000000,16,16,"nest_by","public",97.3827080160845,7,9,96101032,TRUE,104101128,4000048,8e+06,0,0,0,0,0,0,0,96101032,500048,0,0,0,0,0,0,0,0
1000000,16,16,"nest_by","predecessor_safe_reference",97.9142730066087,7,9,105473312,TRUE,113473408,4000048,1.6e+07,0,0,0,0,0,0,0,105473312,500048,8e+06,0,0,0,0,0,0,0
100000,8,128,"nest_by","predecessor_safe_reference",45.7087679824326,7,21,15758984,TRUE,16159032,400048,8e+05,0,0,0,0,0,0,0,15758984,40112,4e+05,0,0,0,0,0,0,0
100000,8,128,"nest_by","public",23.4158790262882,7,10,4966368,TRUE,5366416,400048,4e+05,0,0,0,0,0,0,0,4966368,40064,0,0,0,0,0,0,0,0
1000000,8,128,"nest_by","public",66.4500940183643,7,11,48165856,TRUE,52165904,4000048,4e+06,0,0,0,0,0,0,0,48165856,62552,0,0,0,0,0,0,0,0
1000000,8,128,"nest_by","predecessor_safe_reference",89.3267409992404,7,20,62558344,TRUE,66558392,4000048,8e+06,0,0,0,0,0,0,0,62558344,62552,4e+06,0,0,0,0,0,0,0
100000,16,128,"nest_by","predecessor_safe_reference",73.9498549955897,7,35,21035648,TRUE,21835744,400048,1600000,0,0,0,0,0,0,0,21035648,40176,8e+05,0,0,0,0,0,0,0
100000,16,128,"nest_by","public",44.9100880068727,7,20,9819992,TRUE,10620088,400048,8e+05,0,0,0,0,0,0,0,9819992,40064,0,0,0,0,0,0,0,0
1000000,16,128,"nest_by","public",134.089147002669,7,19,96218968,TRUE,104219064,4000048,8e+06,0,0,0,0,0,0,0,96218968,62552,0,0,0,0,0,0,0,0
1000000,16,128,"nest_by","predecessor_safe_reference",181.932457024232,7,33,114634368,TRUE,122634464,4000048,1.6e+07,0,0,0,0,0,0,0,114634368,62552,8e+06,0,0,0,0,0,0,0
1000000,8,1,"summarise_one","predecessor_safe_reference",18.5066620178986,7,7,136084288,TRUE,136084288,8000048,16000024,0,0,0,0,0,0,0,136084288,8000048,16000024,0,0,0,0,0,0,0
1000000,8,1,"summarise_one","public",19.0053039987106,7,11,136084288,TRUE,136084288,8000048,16000024,0,0,0,0,0,0,0,136084288,8000048,16000024,0,0,0,0,0,0,0
1000000,8,1,"summarise_width","public",89.8915980360471,7,30,328088648,TRUE,340088792,8000048,52000048,0,0,0,0,0,1,1e+06,328088648,8000048,40000048,0,0,0,0,0,1,1e+06
1000000,8,1,"summarise_width","predecessor_safe_reference",86.9662479963154,7,27,328088648,TRUE,340088792,8000048,52000048,0,0,0,0,0,1,1e+06,328088648,8000048,40000048,0,0,0,0,0,1,1e+06
1000000,8,1,"reframe_half","predecessor_safe_reference",52.3393290059175,7,17,162084672,TRUE,162084672,8000048,2.4e+07,0,0,0,0,0,0,0,162084672,8000048,2.4e+07,0,0,0,0,0,0,0
1000000,8,1,"reframe_half","public",32.164295000257,7,11,162084672,TRUE,162084672,8000048,2.4e+07,0,0,0,0,0,0,0,162084672,8000048,2.4e+07,0,0,0,0,0,0,0
1000000,8,1,"group_modify_identity","public",299.939764023293,7,24,328486680,TRUE,332486728,8000048,3.2e+07,0,0,0,0,0,4,4e+06,328486680,8000048,2.8e+07,0,0,0,0,0,4,4e+06
1000000,8,1,"group_modify_identity","predecessor_safe_reference",297.512974007986,7,27,328486960,TRUE,332487008,8000048,3.2e+07,0,0,0,0,0,4,4e+06,328486960,8000048,2.8e+07,0,0,0,0,0,4,4e+06
1000000,8,1,"group_nest","predecessor_safe_reference",33.9605050103273,7,3,52243760,TRUE,56243808,8000048,8e+06,0,0,0,0,0,0,0,52243760,8000048,4e+06,0,0,0,0,0,0,0
1000000,8,1,"group_nest","public",33.2362400076818,7,3,48082704,TRUE,52082752,8000048,4e+06,0,0,0,0,0,0,0,48082704,8000048,0,0,0,0,0,0,0,0
1000000,8,1,"nest_by","public",36.2598670180887,7,5,48086192,TRUE,52086240,8000048,4e+06,0,0,0,0,0,0,0,48086192,8000048,0,0,0,0,0,0,0,0
1000000,8,1,"nest_by","predecessor_safe_reference",36.5783959859982,7,5,52247248,TRUE,56247296,8000048,8e+06,0,0,0,0,0,0,0,52247248,8000048,4e+06,0,0,0,0,0,0,0
