case,variant,scenario,mode,repetition,Rprofmem_bytes,retained_vector_delta_bytes,released_vector_delta_bytes,retained_header_delta_cells,released_header_delta_cells,peak_RSS_bytes
mixed-n10000-p128,direct,load,retained,1,,4606152,2836216,38518,37185,142376960
mixed-n10000-p128,direct,load,retained,2,,4606152,2836216,38518,37185,142524416
mixed-n10000-p128,direct,load,retained,3,,4606152,2836216,38518,37185,142524416
mixed-n10000-p128,direct,first_value,allocation,1,4477536,,,,,
mixed-n10000-p128,direct,first_value,retained,1,,4647432,2875736,40852,39415,142393344
mixed-n10000-p128,direct,first_value,retained,2,,4647432,2875736,40852,39415,142671872
mixed-n10000-p128,direct,first_value,retained,3,,4647432,2875736,40852,39415,142721024
mixed-n10000-p128,direct,fraction,allocation,1,5376040,,,,,
mixed-n10000-p128,direct,fraction,retained,1,,5025912,3144936,55778,54313,144015360
mixed-n10000-p128,direct,fraction,retained,2,,5025912,3144936,55778,54313,144015360
mixed-n10000-p128,direct,fraction,retained,3,,5025912,3144936,55778,54313,144064512
mixed-n10000-p128,direct,known5_fraction,allocation,1,1509464,,,,,
mixed-n10000-p128,direct,known5_fraction,retained,1,,1480416,1211296,74439,74339,140115968
mixed-n10000-p128,direct,known5_fraction,retained,2,,1480416,1211296,74439,74339,140034048
mixed-n10000-p128,direct,known5_fraction,retained,3,,1480416,1211296,74439,74339,140132352
mixed-n10000-p128,direct,all,allocation,1,5319616,,,,,
mixed-n10000-p128,direct,all,retained,1,,4621472,2848776,39176,37742,143589376
mixed-n10000-p128,direct,all,retained,2,,4621472,2848776,39176,37742,143654912
mixed-n10000-p128,direct,all,retained,3,,4621472,2848776,39176,37742,143605760
mixed-n10000-p128,direct,datasig,allocation,1,4496744,,,,,
mixed-n10000-p128,direct,datasig,retained,1,,4822912,3051304,50302,48864,151552000
mixed-n10000-p128,direct,datasig,retained,2,,4822912,3051304,50302,48864,152502272
mixed-n10000-p128,direct,datasig,retained,3,,4822912,3051304,50302,48864,151633920
mixed-n10000-p128,current,load,allocation,1,4492440,,,,,
mixed-n10000-p128,current,load,retained,1,,4722448,2950776,44894,43462,142737408
mixed-n10000-p128,current,load,retained,2,,4722448,2950776,44894,43462,142786560
mixed-n10000-p128,current,load,retained,3,,4722448,2950776,44894,43462,142835712
mixed-n10000-p128,current,first_value,allocation,1,4492440,,,,,
mixed-n10000-p128,current,first_value,retained,1,,4759080,2987384,46960,45523,142753792
mixed-n10000-p128,current,first_value,retained,2,,4759080,2987384,46960,45523,142786560
mixed-n10000-p128,current,first_value,retained,3,,4759080,2987384,46960,45523,142999552
mixed-n10000-p128,current,fraction,allocation,1,5390944,,,,,
mixed-n10000-p128,current,fraction,retained,1,,5065000,3184024,57966,56501,144162816
mixed-n10000-p128,current,fraction,retained,2,,5065000,3184024,57966,56501,144179200
mixed-n10000-p128,current,fraction,retained,3,,5065000,3184024,57966,56501,144162816
mixed-n10000-p128,current,known5_fraction,allocation,1,1509464,,,,,
mixed-n10000-p128,current,known5_fraction,retained,1,,1518592,1249472,76562,76462,140181504
mixed-n10000-p128,current,known5_fraction,retained,2,,1518592,1249472,76562,76462,140099584
mixed-n10000-p128,current,known5_fraction,retained,3,,1518592,1249472,76562,76462,140001280
mixed-n10000-p128,current,all,allocation,1,5334520,,,,,
mixed-n10000-p128,current,all,retained,1,,4730536,2957840,45120,43686,143785984
mixed-n10000-p128,current,all,retained,2,,4730536,2957840,45120,43686,143720448
mixed-n10000-p128,current,all,retained,3,,4730536,2957840,45120,43686,143704064
mixed-n10000-p128,current,datasig,allocation,1,4511648,,,,,
mixed-n10000-p128,current,datasig,retained,1,,4937864,3165368,56576,55085,151912448
mixed-n10000-p128,current,datasig,retained,2,,4937864,3165368,56576,55085,151846912
mixed-n10000-p128,current,datasig,retained,3,,4937864,3165368,56576,55085,151846912
short_low-n10000-p128,current,load,allocation,1,467304,,,,,
short_low-n10000-p128,current,load,retained,1,,714360,623416,44763,43401,152371200
short_low-n10000-p128,current,load,retained,2,,714360,623416,44763,43401,152485888
short_low-n10000-p128,current,load,retained,3,,714360,623416,44763,43401,152322048
short_low-n10000-p128,current,first_value,allocation,1,438696,,,,,
short_low-n10000-p128,current,first_value,retained,1,,731568,640584,45665,44295,152584192
short_low-n10000-p128,current,first_value,retained,2,,731568,640584,45665,44295,152322048
short_low-n10000-p128,current,first_value,retained,3,,731568,640584,45665,44295,152567808
