case,decoder,variant,scenario,mode,repetition,Rprofmem_bytes,retained_vector_delta_bytes,released_vector_delta_bytes,retained_header_delta_cells,released_header_delta_cells,peak_RSS_bytes
pure-numeric-n1000-p8,baseline,direct,load,retained,3,,591824,506176,36654,36709,130187264
pure-numeric-n1000-p8,baseline,direct,first_value,allocation,1,462816,,,,,
pure-numeric-n1000-p8,baseline,direct,first_value,retained,1,,633088,545680,38985,38936,130351104
pure-numeric-n1000-p8,baseline,direct,first_value,retained,2,,633088,545680,38985,38936,130269184
pure-numeric-n1000-p8,baseline,direct,first_value,retained,3,,633088,545680,38985,38936,130220032
pure-numeric-n1000-p8,baseline,direct,fraction,allocation,1,829544,,,,,
pure-numeric-n1000-p8,baseline,direct,fraction,retained,1,,919576,790608,52547,52492,131710976
pure-numeric-n1000-p8,baseline,direct,fraction,retained,2,,919576,790608,52547,52492,130564096
pure-numeric-n1000-p8,baseline,direct,fraction,retained,3,,919576,790608,52547,52492,130711552
pure-numeric-n1000-p8,baseline,direct,known5_fraction,allocation,1,754488,,,,,
pure-numeric-n1000-p8,baseline,direct,known5_fraction,retained,1,,1186808,1066120,72629,72625,131334144
pure-numeric-n1000-p8,baseline,direct,known5_fraction,retained,2,,1186808,1066120,72629,72625,131350528
pure-numeric-n1000-p8,baseline,direct,known5_fraction,retained,3,,1186808,1066120,72629,72625,131694592
pure-numeric-n1000-p8,baseline,direct,all,allocation,1,462816,,,,,
pure-numeric-n1000-p8,baseline,direct,all,retained,1,,600712,513264,37131,37085,130334720
pure-numeric-n1000-p8,baseline,direct,all,retained,2,,600712,513264,37131,37085,130301952
pure-numeric-n1000-p8,baseline,direct,all,retained,3,,600712,513264,37131,37085,130334720
pure-numeric-n1000-p8,baseline,direct,datasig,allocation,1,447616,,,,,
pure-numeric-n1000-p8,baseline,direct,datasig,retained,1,,803952,717472,48182,48195,131039232
pure-numeric-n1000-p8,baseline,direct,datasig,retained,2,,803952,717472,48182,48195,131153920
pure-numeric-n1000-p8,baseline,direct,datasig,retained,3,,803952,717472,48182,48195,131137536
