case,family,rows,columns,required_columns,dibble_ms,tibble_ms,skip_type_capture_ms,skip_prepare_type_capture_ms,direct_ms,known5_ms,known_all_ms,stata_full_ms,stata_projected_ms,direct_saved_ms,direct_saved_percent,current_to_stata_ratio,direct_to_stata_ratio
short_low-n1000-p128,short_low,1000,128,7,4.9609375,3.5250000000000004,3.6999999999999997,3.5000000000000004,3.1937500000000005,0.984375,5.218749999999999,0.23124999999999998,0.17838541666666669,1.7671874999999995,35.62204724409448,21.452702702702705,13.810810810810814
short_high-n1000-p128,short_high,1000,128,7,9.5,8.15625,8.421875,8.114583333333332,7.979166666666666,1.2232142857142858,10.140625,0.23007812499999997,0.17838541666666669,1.520833333333334,16.008771929824572,41.29032258064517,34.68024900962083
numeric-n10000-p128,numeric,10000,128,7,3.5624999999999996,2.8333333333333335,3.046875,2.8333333333333335,2.4732142857142856,1.173076923076923,3.875,0.4912109375,0.546875,1.089285714285714,30.576441102756892,7.25248508946322,5.034933257597273
mixed-n10000-p128,mixed,10000,128,7,4.4296875,3.5125,3.6374999999999997,3.4937500000000004,3.09375,1.3650568181818181,4.7109375,0.5283203125,0.57421875,1.3359375,30.15873015873016,8.384473197781885,5.855822550831793
short_low-n10000-p128,short_low,10000,128,7,7.010416666666667,5.59375,5.625,5.510416666666667,5.166666666666667,3.2625,7.479166666666666,3.036458333333333,1.9453125,1.84375,26.3001485884101,2.3087478559176677,1.7015437392795887
short_high-n10000-p128,short_high,10000,128,7,31.82142857142857,30.0625,30.9375,30.375,29.406250000000004,6.1796875,31.923076923076923,3.3020833333333335,2.2847222222222223,2.415178571428566,7.589786756453409,9.636773321315907,8.905362776025237
numeric-n1000-p1024,numeric,1000,1024,52,16.95,11.421875,12.796875,11.625,8.453125,2.8489583333333335,18.46666666666667,0.5234375,0.45182291666666663,8.496875,50.129056047197636,32.3820895522388,16.149253731343283
mixed-n1000-p1024,mixed,1000,1024,52,19.28571428571429,12.765625,13.84375,12.71875,9.421875,3.128125,21.104166666666668,0.5576171875,0.46744791666666663,9.863839285714288,51.145833333333336,34.58593945459095,16.896672504378284
short_low-n1000-p1024,short_low,1000,1024,52,23.95,12.953125,13.75,12.984375,10.125,4.484375,25.050000000000004,1.3125,1.3723958333333335,13.825,57.72442588726514,18.247619047619047,7.714285714285714
short_high-n1000-p1024,short_high,1000,1024,52,46.0,32.125,33.692307692307686,32.85714285714286,28.928571428571427,6.375000000000001,46.1875,1.4110576923076923,1.4140625,17.071428571428573,37.111801242236034,32.59965928449744,20.501338525188608
strl_low-n1000-p4,strl_low,1000,4,1,1.3963068181818183,1.3489583333333333,1.3650568181818181,1.3072916666666667,1.2932692307692308,0.7978515625,1.5374999999999999,0.12999131944444442,0.105078125,0.1030375874125875,7.379294154472182,10.74153892851723,9.948889174264803
strl_high-n1000-p4,strl_high,1000,4,1,14.6875,14.078125,14.15625,12.40625,12.234375,6.6875,13.156250000000002,1.0569196428571428,1.3948863636363638,2.453125,16.702127659574472,13.896515311510033,11.575501583949315
strl_low-n10000-p4,strl_low,10000,4,1,10.53125,10.421875,10.515625,10.375,10.765625,3.3187499999999996,10.859375,1.1450892857142858,0.7578125,-0.234375,-2.2255192878338326,9.196881091617932,9.401559454191032
strl_high-n10000-p4,strl_high,10000,4,1,24.90909090909091,25.055555555555554,25.65,26.1,27.1,10.296875,25.636363636363633,2.707589285714286,1.96484375,-2.1909090909090914,-8.79562043795621,9.199730195608183,10.008903544929925
strl_low-n1000-p32,strl_low,1000,32,2,9.203125,8.828125,8.796875,8.796875,8.375,1.2708333333333333,9.203125,0.859375,0.2470703125,0.828125,8.998302207130726,10.709090909090909,9.745454545454546
strl_high-n1000-p32,strl_high,1000,32,2,94.5,93.83333333333333,94.16666666666667,98.33333333333333,108.50000000000001,34.357142857142854,94.83333333333333,11.453125,11.875,-14.000000000000014,-14.814814814814836,8.251023192360163,9.473396998635744
strl_low-n10000-p32,strl_low,10000,32,2,81.25,81.5,81.375,81.625,81.75,5.96875,81.875,7.84375,1.265625,-0.5,-0.6153846153846176,10.358565737051793,10.422310756972111
strl_high-n10000-p32,strl_high,10000,32,2,185.25,185.25,185.25,184.75,192.0,43.91666666666667,190.0,19.400000000000002,13.359375,-6.75,-3.6437246963562764,9.548969072164947,9.896907216494844
