case,family,rows,file_columns,loaded_columns,scenario,comparison,left_method,right_method,left_ms,right_ms,right_minus_left_ms,right_minus_left_percent,left_minimum_ms,left_maximum_ms,right_minimum_ms,right_maximum_ms
numeric-n1000-p8,numeric,1000,8,1,known5_fraction,direct_minus_current,current_known5_fraction,direct_known5_fraction,1.5375,1.3812499999999999,-0.15625000000000022,-10.162601626016276,1.275,1.8249999999999997,1.125,1.6125
numeric-n1000-p8,numeric,1000,8,1,known5_fraction,deferred_minus_direct,direct_known5_fraction,deferred_known5_fraction,1.3812499999999999,1.4093749999999998,0.028124999999999956,2.036199095022617,1.125,1.6125,1.2375,1.5937500000000002
numeric-n1000-p8,numeric,1000,8,1,known5_fraction,deferred_minus_current,current_known5_fraction,deferred_known5_fraction,1.5375,1.4093749999999998,-0.12812500000000027,-8.333333333333348,1.275,1.8249999999999997,1.2375,1.5937500000000002
numeric-n1000-p8,numeric,1000,8,8,all,direct_minus_current,current_all,direct_all,0.5755208333333333,0.39453125,-0.18098958333333326,-31.447963800904965,0.5208333333333334,0.6458333333333334,0.34375,0.423828125
numeric-n1000-p8,numeric,1000,8,8,all,deferred_minus_direct,direct_all,deferred_all,0.39453125,0.396875,0.002343749999999978,0.5940594059405946,0.34375,0.423828125,0.3895833333333333,0.4791666666666667
numeric-n1000-p8,numeric,1000,8,8,all,deferred_minus_current,current_all,deferred_all,0.5755208333333333,0.396875,-0.17864583333333328,-31.04072398190044,0.5208333333333334,0.6458333333333334,0.3895833333333333,0.4791666666666667
numeric-n1000-p8,numeric,1000,8,8,datasig,direct_minus_current,current_datasig,direct_datasig,1.15,0.984375,-0.1656249999999999,-14.40217391304347,1.1312499999999999,1.2125000000000001,0.9739583333333333,1.0364583333333335
numeric-n1000-p8,numeric,1000,8,8,datasig,deferred_minus_direct,direct_datasig,deferred_datasig,0.984375,1.0182291666666667,0.03385416666666674,3.4391534391534417,0.9739583333333333,1.0364583333333335,1.0104166666666665,1.0729166666666667
numeric-n1000-p8,numeric,1000,8,8,datasig,deferred_minus_current,current_datasig,deferred_datasig,1.15,1.0182291666666667,-0.13177083333333317,-11.458333333333314,1.1312499999999999,1.2125000000000001,1.0104166666666665,1.0729166666666667
numeric-n1000-p8,numeric,1000,8,8,load,deferred_direct_minus_deferred_current,deferred_current_load,deferred_load,0.4951923076923077,0.376953125,-0.11823918269230771,-23.877427184466026,0.4855769230769231,0.5336538461538461,0.3125,0.41796875
numeric-n10000-p128,numeric,10000,128,128,load,direct_minus_current,current_load,direct_load,3.5625,2.427083333333333,-1.135416666666667,-31.871345029239773,3.375,3.875,2.2708333333333335,2.7083333333333335
numeric-n10000-p128,numeric,10000,128,128,load,deferred_minus_direct,direct_load,deferred_load,2.427083333333333,1.45703125,-0.970052083333333,-39.96781115879827,2.2708333333333335,2.7083333333333335,1.4296875,1.6640625
numeric-n10000-p128,numeric,10000,128,128,load,deferred_minus_current,current_load,deferred_load,3.5625,1.45703125,-2.10546875,-59.10087719298245,3.375,3.875,1.4296875,1.6640625
numeric-n10000-p128,numeric,10000,128,128,fraction,direct_minus_current,current_fraction,direct_fraction,4.90625,3.921875,-0.984375,-20.06369426751592,4.59375,5.15625,3.65625,4.1875
numeric-n10000-p128,numeric,10000,128,128,fraction,deferred_minus_direct,direct_fraction,deferred_fraction,3.921875,3.734375,-0.1875,-4.7808764940239,3.65625,4.1875,3.65625,4.28125
numeric-n10000-p128,numeric,10000,128,128,fraction,deferred_minus_current,current_fraction,deferred_fraction,4.90625,3.734375,-1.171875,-23.885350318471332,4.59375,5.15625,3.65625,4.28125
numeric-n10000-p128,numeric,10000,128,7,known5_fraction,direct_minus_current,current_known5_fraction,direct_known5_fraction,2.552083333333333,2.3125,-0.23958333333333304,-9.387755102040806,2.375,2.854166666666667,2.1458333333333335,2.625
numeric-n10000-p128,numeric,10000,128,7,known5_fraction,deferred_minus_direct,direct_known5_fraction,deferred_known5_fraction,2.3125,3.046875,0.734375,31.756756756756754,2.1458333333333335,2.625,2.9375,3.8125
numeric-n10000-p128,numeric,10000,128,7,known5_fraction,deferred_minus_current,current_known5_fraction,deferred_known5_fraction,2.552083333333333,3.046875,0.49479166666666696,19.387755102040828,2.375,2.854166666666667,2.9375,3.8125
numeric-n10000-p128,numeric,10000,128,128,all,direct_minus_current,current_all,direct_all,5.328125,4.28125,-1.046875,-19.648093841642233,5.0625,5.65625,4.03125,4.5625
numeric-n10000-p128,numeric,10000,128,128,all,deferred_minus_direct,direct_all,deferred_all,4.28125,7.333333333333333,3.052083333333333,71.28953771289537,4.03125,4.5625,7.066666666666666,8.133333333333333
numeric-n10000-p128,numeric,10000,128,128,all,deferred_minus_current,current_all,deferred_all,5.328125,7.333333333333333,2.005208333333333,37.63440860215053,5.0625,5.65625,7.066666666666666,8.133333333333333
numeric-n10000-p128,numeric,10000,128,128,datasig,direct_minus_current,current_datasig,direct_datasig,13.625,12.444444444444445,-1.1805555555555554,-8.664627930682977,13.25,15.0,12.0,13.777777777777779
numeric-n10000-p128,numeric,10000,128,128,datasig,deferred_minus_direct,direct_datasig,deferred_datasig,12.444444444444445,16.75,4.305555555555555,34.59821428571428,12.0,13.777777777777779,15.083333333333332,18.166666666666668
numeric-n10000-p128,numeric,10000,128,128,datasig,deferred_minus_current,current_datasig,deferred_datasig,13.625,16.75,3.125,22.935779816513758,13.25,15.0,15.083333333333332,18.166666666666668
numeric-n10000-p128,numeric,10000,128,128,load,deferred_direct_minus_deferred_current,deferred_current_load,deferred_load,2.604166666666667,1.45703125,-1.147135416666667,-44.05000000000001,2.520833333333333,3.3958333333333335,1.4296875,1.6640625
numeric-n10000-p128,numeric,10000,128,128,load,private_eager_minus_baseline_direct,direct_load,private_eager_load,2.427083333333333,2.427083333333333,0.0,0.0,2.2708333333333335,2.7083333333333335,2.25,2.6666666666666665
numeric-n10000-p128,numeric,10000,128,128,load,serial_minus_auto_direct,direct_load,serial_direct_load,2.427083333333333,4.890625,2.463541666666667,101.5021459227468,2.2708333333333335,2.7083333333333335,4.53125,5.28125
numeric-n10000-p128,numeric,10000,128,128,all,private_eager_minus_baseline_direct,direct_all,private_eager_all,4.28125,4.28125,0.0,0.0,4.03125,4.5625,4.09375,4.5625
numeric-n10000-p128,numeric,10000,128,128,all,serial_minus_auto_direct,direct_all,serial_direct_all,4.28125,6.515625,2.234375,52.189781021897815,4.03125,4.5625,6.15625,6.8125
numeric-n10000-p8,numeric,10000,8,8,load,direct_minus_current,current_load,direct_load,0.84375,0.6375,-0.20625000000000004,-24.444444444444446,0.828125,0.9453125,0.625,0.7437499999999999
numeric-n10000-p8,numeric,10000,8,8,load,deferred_minus_direct,direct_load,deferred_load,0.6375,0.42578125,-0.21171874999999996,-33.21078431372548,0.625,0.7437499999999999,0.3828125,0.49609375
numeric-n10000-p8,numeric,10000,8,8,load,deferred_minus_current,current_load,deferred_load,0.84375,0.42578125,-0.41796875,-49.53703703703704,0.828125,0.9453125,0.3828125,0.49609375
numeric-n10000-p8,numeric,10000,8,8,fraction,direct_minus_current,current_fraction,direct_fraction,1.890625,1.6875,-0.203125,-10.743801652892559,1.828125,2.21875,1.640625,2.015625
