case,variant,phase,observations,median_ms,minimum_ms,maximum_ms
numeric-n10000-p128,current,repeat_column_summary,7,0.013999990187585399,0.013999990187585399,0.641999999061227
numeric-n10000-p128,current,fraction_workflow,7,1.3249999610707202,1.29300000844523,2.8440000023692797
numeric-n10000-p128,current,expanded_fraction_workflow,7,1.985999988392,1.89199997112155,5.00300002750009
numeric-n10000-p128,current,all_columns_summary,7,1.73200003337115,1.7029999871738302,1.89600000157952
numeric-n1000-p1024,current,empty_control,100,0.0,0.0,0.188999983947724
numeric-n1000-p1024,current,load,7,14.364999951794701,13.9389999676496,22.9449999751523
numeric-n1000-p1024,current,column_handle,7,0.00499997986480594,0.00399997225031257,0.0359999830834568
numeric-n1000-p1024,current,first_value_same_handle,7,0.063000014051795,0.0559999607503414,0.364999985322356
numeric-n1000-p1024,current,repeat_value_same_handle,7,0.0409999629482627,0.0400000135414302,0.0439999857917428
numeric-n1000-p1024,current,repeat_value_new_extraction,7,0.0410000211559236,0.0400000135414302,0.0439999857917428
numeric-n1000-p1024,current,column_summary,7,0.00499997986480594,0.00499997986480594,0.013999990187585399
numeric-n1000-p1024,current,repeat_column_summary,7,0.00400003045797348,0.00399997225031257,0.640000042039901
numeric-n1000-p1024,current,fraction_workflow,7,3.4590000286698297,3.38900001952425,4.88500000210479
numeric-n1000-p1024,current,expanded_fraction_workflow,7,7.6009999611415004,7.4860000167973295,9.98500001151115
numeric-n1000-p1024,current,all_columns_summary,7,2.97300005331635,2.92600004468113,3.75900004291907
numeric-n1000-p1024,direct,empty_control,100,0.0,0.0,0.187000026926398
numeric-n1000-p1024,direct,load,7,7.3899999842979,7.32699997024611,15.3109999955632
numeric-n1000-p1024,direct,column_handle,7,0.00499997986480594,0.00399997225031257,0.0359999830834568
numeric-n1000-p1024,direct,first_value_same_handle,7,0.0610000570304692,0.057999975979328204,0.384999962989241
numeric-n1000-p1024,direct,repeat_value_same_handle,7,0.0410000211559236,0.0379999983124435,0.0449999934062362
numeric-n1000-p1024,direct,repeat_value_new_extraction,7,0.0409999629482627,0.0400000135414302,0.0470000086352229
numeric-n1000-p1024,direct,column_summary,7,0.00599998747929931,0.00499997986480594,0.015000056009739601
numeric-n1000-p1024,direct,repeat_column_summary,7,0.00400003045797348,0.00399997225031257,0.677999982144684
numeric-n1000-p1024,direct,fraction_workflow,7,3.47499997587875,3.29300004523247,5.45100000454113
numeric-n1000-p1024,direct,expanded_fraction_workflow,7,7.1010000538080895,6.8989999708719605,10.8469999977387
numeric-n1000-p1024,direct,all_columns_summary,7,3.66699998266995,2.93800001963973,3.6810000310652002
mixed-n10000-p128,direct,empty_control,100,0.0,0.0,0.215999956708401
mixed-n10000-p128,direct,load,7,3.4379999851808,3.3330000005662397,11.0920000006445
mixed-n10000-p128,direct,column_handle,7,0.00499997986480594,0.00399997225031257,0.0409999629482627
mixed-n10000-p128,direct,first_value_same_handle,7,0.052000046707689804,0.0460000010207295,0.334999989718199
mixed-n10000-p128,direct,repeat_value_same_handle,7,0.0359999830834568,0.0340000260621309,0.0410000211559236
mixed-n10000-p128,direct,repeat_value_new_extraction,7,0.037000048905611,0.0359999830834568,0.0419999705627561
mixed-n10000-p128,direct,column_summary,7,0.0149999978020787,0.013999990187585399,0.0279999803751707
mixed-n10000-p128,direct,repeat_column_summary,7,0.0140000483952463,0.013999990187585399,0.696000002790242
mixed-n10000-p128,direct,fraction_workflow,7,1.83399999514222,1.71699997736141,3.9700000197626704
mixed-n10000-p128,direct,expanded_fraction_workflow,7,3.02100001135841,2.93399998918176,6.11700001172721
mixed-n10000-p128,direct,all_columns_summary,7,3.52799997199327,3.430999990087,3.5560000105761
mixed-n10000-p128,current,empty_control,100,0.0,0.0,0.184000004082918
mixed-n10000-p128,current,load,7,4.55000001238659,4.51999995857477,12.334999977611
mixed-n10000-p128,current,column_handle,7,0.00400003045797348,0.00399997225031257,0.0390000059269369
mixed-n10000-p128,current,first_value_same_handle,7,0.0529999961145222,0.0489999656565487,0.334999989718199
mixed-n10000-p128,current,repeat_value_same_handle,7,0.0359999830834568,0.0349999754689634,0.0410000211559236
mixed-n10000-p128,current,repeat_value_new_extraction,7,0.0369999906979501,0.0369999906979501,0.0410000211559236
mixed-n10000-p128,current,column_summary,7,0.0160000054165721,0.0149999978020787,0.0240000081248581
mixed-n10000-p128,current,repeat_column_summary,7,0.013999990187585399,0.013999990187585399,0.658000004477799
mixed-n10000-p128,current,fraction_workflow,7,1.79200002457947,1.70999998226762,3.50699998671189
mixed-n10000-p128,current,expanded_fraction_workflow,7,3.04600002709776,2.91600002674386,6.2729999772273
mixed-n10000-p128,current,all_columns_summary,7,3.51299997419119,3.4379999851808,3.5999999963678397
short_low-n10000-p128,current,empty_control,100,0.0,0.0,0.21899997955188202
short_low-n10000-p128,current,load,7,7.40699999732897,7.02399999136105,18.047999998088898
short_low-n10000-p128,current,column_handle,7,0.00599998747929931,0.00400003045797348,0.062000006437301594
short_low-n10000-p128,current,first_value_same_handle,7,0.03399996785447,0.0280000385828316,0.136999995447695
short_low-n10000-p128,current,repeat_value_same_handle,7,0.023000000510364802,0.0219999928958714,0.0279999803751707
short_low-n10000-p128,current,repeat_value_new_extraction,7,0.025999965146184002,0.0240000081248581,0.031000003218650797
short_low-n10000-p128,current,column_summary,7,0.104000035207719,0.09699998190626499,0.121999997645617
short_low-n10000-p128,current,repeat_column_summary,7,0.0949999666772783,0.0920000020414591,0.878999999258667
short_low-n10000-p128,current,fraction_workflow,7,3.9840000099502504,3.8840000052005,7.20900000305846
short_low-n10000-p128,current,expanded_fraction_workflow,7,7.2539999964647,6.8689999752678,12.769999972078901
short_low-n10000-p128,current,all_columns_summary,7,14.989999996032601,13.6550000170246,16.2319999653846
short_low-n10000-p128,direct,empty_control,100,0.0,0.0,0.187999976333231
short_low-n10000-p128,direct,load,7,5.99899998633191,5.60500001301989,13.8550000265241
short_low-n10000-p128,direct,column_handle,7,0.00499997986480594,0.00399997225031257,0.0400000135414302
short_low-n10000-p128,direct,first_value_same_handle,7,0.032999960239976596,0.0300000538118184,0.10200001997873201
short_low-n10000-p128,direct,repeat_value_same_handle,7,0.023000000510364802,0.0219999928958714,0.0279999803751707
short_low-n10000-p128,direct,repeat_value_new_extraction,7,0.026000023353844902,0.0250000157393515,0.0280000385828316
short_low-n10000-p128,direct,column_summary,7,0.10000000474974499,0.09699998190626499,0.106999999843538
short_low-n10000-p128,direct,repeat_column_summary,7,0.0949999666772783,0.0930000096559525,0.768999976571649
short_low-n10000-p128,direct,fraction_workflow,7,4.05000004684553,3.9429999887943303,6.49100000737235
short_low-n10000-p128,direct,expanded_fraction_workflow,7,6.32599997334182,6.12099998397753,9.59499995224178
short_low-n10000-p128,direct,all_columns_summary,7,12.3899999889545,12.1100000105798,13.134000007994501
short_high-n10000-p128,direct,empty_control,100,0.0,0.0,0.18199998885393098
short_high-n10000-p128,direct,load,7,14.857999980449701,14.252000022679601,22.1010000095703
short_high-n10000-p128,direct,column_handle,7,0.00500003807246685,0.00499997986480594,0.0429999781772494
short_high-n10000-p128,direct,first_value_same_handle,7,0.0369999906979501,0.0350000336766243,0.11600001016631699
short_high-n10000-p128,direct,repeat_value_same_handle,7,0.0240000081248581,0.023000000510364802,0.0379999983124435
short_high-n10000-p128,direct,repeat_value_new_extraction,7,0.026000023353844902,0.0250000157393515,0.0279999803751707
short_high-n10000-p128,direct,column_summary,7,0.370000023394823,0.346999964676797,0.505000003613532
short_high-n10000-p128,direct,repeat_column_summary,7,0.0949999666772783,0.0899999868124723,0.811000005342066
short_high-n10000-p128,direct,fraction_workflow,7,12.018000008538401,11.2269999808632,15.099000011105101
short_high-n10000-p128,direct,expanded_fraction_workflow,7,32.7090000500903,32.2109999833629,48.6050000181422
short_high-n10000-p128,direct,all_columns_summary,7,46.3120000204071,45.7939999760129,145.340999995824
short_high-n10000-p128,current,empty_control,100,0.0,0.0,0.20000000949948998
