case,decoder,variant,phase,observations,median_ms,minimum_ms,maximum_ms
numeric-n10000-p128,baseline,current,load,7,3.78600001567975,3.66499996744096,11.610999994445601
numeric-n10000-p128,baseline,current,column_handle,7,0.010000017937272801,0.0089999521151185,0.0510000390931964
numeric-n10000-p128,baseline,current,first_value_same_handle,7,0.0920000020414591,0.0790000194683671,0.423000019509345
numeric-n10000-p128,baseline,current,repeat_value_same_handle,7,0.0519999885000288,0.0489999656565487,0.055000011343509
numeric-n10000-p128,baseline,current,repeat_value_new_extraction,7,0.0540000037290156,0.0509999808855355,0.0559999607503414
numeric-n10000-p128,baseline,current,column_summary,7,0.0190000282600522,0.0180000206455588,0.028999987989664102
numeric-n10000-p128,baseline,current,repeat_column_summary,7,0.017000013031065502,0.0160000054165721,0.67699997453019
numeric-n10000-p128,baseline,current,fraction_workflow,7,1.61799998022616,1.49900000542402,2.9710000380873702
numeric-n10000-p128,baseline,current,expanded_fraction_workflow,7,2.1779999951832,2.12599994847551,5.12899999739602
numeric-n10000-p128,baseline,current,all_columns_summary,7,1.80899997940287,1.74899998819456,1.8469999777153099
numeric-n10000-p128,baseline,direct,empty_control,100,0.0,0.0,0.19799999427050402
numeric-n10000-p128,baseline,direct,load,7,2.71700002485886,2.5749999913387,10.6730000115931
numeric-n10000-p128,baseline,direct,column_handle,7,0.0109999673441052,0.00499997986480594,0.0540000037290156
numeric-n10000-p128,baseline,direct,first_value_same_handle,7,0.0850000069476664,0.063000014051795,0.431999971624464
numeric-n10000-p128,baseline,direct,repeat_value_same_handle,7,0.050000031478703,0.0460000010207295,0.0609999988228083
numeric-n10000-p128,baseline,direct,repeat_value_new_extraction,7,0.0519999885000288,0.0480000162497163,0.0609999988228083
numeric-n10000-p128,baseline,direct,column_summary,7,0.0189999700523913,0.0180000206455588,0.0350000336766243
numeric-n10000-p128,baseline,direct,repeat_column_summary,7,0.017000013031065502,0.0160000054165721,0.730999978259206
numeric-n10000-p128,baseline,direct,fraction_workflow,7,1.6409999807365199,1.42099999357015,3.44999996013939
numeric-n10000-p128,baseline,direct,expanded_fraction_workflow,7,2.1949999500065998,2.04499997198582,5.42000000132248
numeric-n10000-p128,baseline,direct,all_columns_summary,7,1.82599999243394,1.74800003878772,2.05499998992309
numeric-n10000-p128,numeric_snapshot,direct,empty_control,100,0.0,0.0,0.190000049769878
numeric-n10000-p128,numeric_snapshot,direct,load,7,1.72100000781938,1.68899999698624,9.69400000758469
numeric-n10000-p128,numeric_snapshot,direct,column_handle,7,0.010000017937272801,0.00800000270828605,0.058000034186989104
numeric-n10000-p128,numeric_snapshot,direct,first_value_same_handle,7,0.11199997970834401,0.109999964479357,0.452000007499009
numeric-n10000-p128,numeric_snapshot,direct,repeat_value_same_handle,7,0.0559999607503414,0.0499999732710421,0.0640000216662884
numeric-n10000-p128,numeric_snapshot,direct,repeat_value_new_extraction,7,0.057999975979328204,0.0540000037290156,0.0639999634586275
numeric-n10000-p128,numeric_snapshot,direct,column_summary,7,0.025999965146184002,0.0219999928958714,0.0369999906979501
numeric-n10000-p128,numeric_snapshot,direct,repeat_column_summary,7,0.0240000081248581,0.017000013031065502,0.709000043570995
