case,family,rows,file_columns,loaded_columns,method,decoder,variant,scenario,threads,n,median_ms,minimum_ms,maximum_ms
numeric-n10000-p8,numeric,10000,8,1,direct_known5_fraction,baseline,direct,known5_fraction,0,8,1.671875,1.609375,1.921875
numeric-n10000-p8,numeric,10000,8,8,direct_load,baseline,direct,load,0,8,0.6375,0.625,0.7437499999999999
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,current_all,baseline,current,all,0,8,18.666666666666668,17.499999999999996,20.5
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,current_datasig,baseline,current,datasig,0,8,87.25,85.0,94.5
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,current_fraction,baseline,current,fraction,0,8,18.916666666666664,18.333333333333332,21.166666666666668
pure-numeric-n1000-p1024,pure_numeric,1000,1024,52,current_known5_fraction,baseline,current,known5_fraction,0,8,4.703125,4.5,5.125
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,current_load,baseline,current,load,0,8,15.214285714285715,15.0,16.714285714285715
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,deferred_all,numeric_snapshot,direct,all,0,8,18.785714285714285,17.857142857142858,19.714285714285715
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,deferred_current_load,numeric_snapshot,current,load,0,8,16.857142857142854,15.285714285714286,17.142857142857142
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,deferred_datasig,numeric_snapshot,direct,datasig,0,8,88.25,84.5,95.0
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,deferred_fraction,numeric_snapshot,direct,fraction,0,8,14.75,14.0,16.625
pure-numeric-n1000-p1024,pure_numeric,1000,1024,52,deferred_known5_fraction,numeric_snapshot,direct,known5_fraction,0,8,7.266666666666667,6.6,8.066666666666666
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,deferred_load,numeric_snapshot,direct,load,0,8,7.933333333333332,7.4,8.733333333333334
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,direct_all,baseline,direct,all,0,8,11.2,10.499999999999998,11.899999999999999
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,direct_datasig,baseline,direct,datasig,0,8,80.25,78.0,87.0
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,direct_fraction,baseline,direct,fraction,0,8,11.8,11.3,12.7
