case,variant,phase,observations,captured_observation_bytes_min,captured_observation_bytes_max,retained_observation_bytes_min,retained_observation_bytes_max,captured_observation_capacity_min,captured_observation_capacity_max,retained_observation_capacity_min,retained_observation_capacity_max,handles_created_min,handles_created_max,live_handles_min,live_handles_max,force_attempts_min,force_attempts_max,full_decode_completions_min,full_decode_completions_max,completed_decode_cells_min,completed_decode_cells_max,cache_publications_min,cache_publications_max,reused_handles_min,reused_handles_max,duplicate_handles_min,duplicate_handles_max,dataptr_handles_min,dataptr_handles_max,pointer_materializations_min,pointer_materializations_max,source_columns_with_attempts_min,source_columns_with_attempts_max,max_source_column_completions_min,max_source_column_completions_max
numeric-n10000-p128,direct,repeat_column_summary,7,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,518.0,518.0,518.0,518.0,1.0,1.0,1.0,1.0,10000.0,10000.0,1.0,1.0,1.0,1.0,390.0,390.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
numeric-n10000-p128,direct,repeat_value_new_extraction,7,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,512.0,512.0,512.0,512.0,1.0,1.0,1.0,1.0,10000.0,10000.0,1.0,1.0,1.0,1.0,384.0,384.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
numeric-n10000-p128,direct,repeat_value_same_handle,7,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,512.0,512.0,512.0,512.0,1.0,1.0,1.0,1.0,10000.0,10000.0,1.0,1.0,1.0,1.0,384.0,384.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n1000-p1024,direct,all_columns_summary,7,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,8976.0,8976.0,1529.0,5199.0,1330.0,1330.0,1330.0,1330.0,1330000.0,1330000.0,1330.0,1330.0,1078.0,1078.0,7952.0,7952.0,63.0,63.0,2.0,2.0,1024.0,1024.0,3.0,3.0
pure-numeric-n1000-p1024,direct,column_handle,7,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,4096.0,4096.0,4096.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3072.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pure-numeric-n1000-p1024,direct,column_summary,7,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,4099.0,4099.0,4099.0,4099.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,2.0,2.0,3075.0,3075.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n1000-p1024,direct,expanded_fraction_workflow,7,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,5904.0,5904.0,2127.0,2516.0,307.0,307.0,307.0,307.0,307000.0,307000.0,307.0,307.0,258.0,258.0,4880.0,4880.0,63.0,63.0,2.0,2.0,256.0,256.0,2.0,2.0
pure-numeric-n1000-p1024,direct,first_value_same_handle,7,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,4096.0,4096.0,4096.0,4096.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,0.0,0.0,3072.0,3072.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n1000-p1024,direct,fraction_workflow,7,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,4412.0,4412.0,1337.0,4412.0,52.0,52.0,52.0,52.0,52000.0,52000.0,52.0,52.0,49.0,49.0,3388.0,3388.0,11.0,11.0,1.0,1.0,52.0,52.0,1.0,1.0
pure-numeric-n1000-p1024,direct,load,7,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,4096.0,4096.0,4096.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3072.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pure-numeric-n1000-p1024,direct,repeat_column_summary,7,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,4102.0,4102.0,1027.0,4102.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,3.0,3.0,3078.0,3078.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
