run,case,reader,workload,variant,repetition,load_seconds,elapsed_seconds,workflow_seconds,cpu_seconds,peak_rss_bytes,process_cpu_seconds,native_before,native_after
downstream-v2,100mb-all,arrow,sparse,candidate,4,0.032,0.012,0.044,0.012,363233280,0.279165,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,arrow,sparse,baseline,4,0.028,0.006,0.035,0.006,378028032,0.273263,{},{}
downstream-v2,100mb-all,arrow,sparse,baseline,5,0.028,0.006,0.035,0.006,377143296,0.274076,{},{}
downstream-v2,100mb-all,arrow,sparse,candidate,5,0.03,0.012,0.042,0.012,367067136,0.278445,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,arrow,sparse,candidate,6,0.031,0.012,0.043,0.012,362676224,0.279291,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,arrow,sparse,baseline,6,0.029,0.006,0.036,0.006,382205952,0.27399599999999996,{},{}
downstream-v2,100mb-all,arrow,traverse,baseline,1,0.03,0.024,0.054,0.051,435109888,0.32011199999999995,{},{}
downstream-v2,100mb-all,arrow,traverse,candidate,1,0.029,0.023,0.053,0.052,415072256,0.315631,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,arrow,traverse,candidate,2,0.028,0.024,0.053,0.052,417054720,0.31478399999999995,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,arrow,traverse,baseline,2,0.029,0.024,0.053,0.051,429539328,0.31832,{},{}
downstream-v2,100mb-all,arrow,traverse,baseline,3,0.028,0.023,0.052,0.051,431472640,0.31782999999999995,{},{}
downstream-v2,100mb-all,arrow,traverse,candidate,3,0.029,0.023,0.053,0.05,422789120,0.317884,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,arrow,traverse,candidate,4,0.03,0.024,0.054,0.051,417120256,0.319746,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,arrow,traverse,baseline,4,0.029,0.024,0.054,0.051,435748864,0.31770099999999996,{},{}
downstream-v2,100mb-all,arrow,traverse,baseline,5,0.028,0.023,0.052,0.05,434552832,0.318204,{},{}
downstream-v2,100mb-all,arrow,traverse,candidate,5,0.03,0.024,0.054,0.051,420184064,0.316264,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}"
