run,case,selection_mode,mode,cohort,repetition,position,method,elapsed_seconds,cpu_seconds,peak_rss_bytes,process_cpu_seconds,calls
screen-arrow-copy,india-30-scattered-known,known,fresh,1,2,3,candidate-arrow,0.07,0.088,264978432,0.251939,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,2,4,stata,0.315,,80871424,0.331265,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,2,5,baseline-dta,0.264,0.337,232112128,0.501072,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,3,1,candidate-dta,0.264,0.337,232292352,0.501486,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,3,2,candidate-arrow,0.071,0.09,266059776,0.254567,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,3,3,stata,0.316,,80838656,0.33220099999999997,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,3,4,baseline-dta,0.265,0.34,232030208,0.5046489999999999,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,3,5,baseline-arrow,0.071,0.094,265748480,0.259814,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,4,1,candidate-arrow,0.07,0.09,264699904,0.253173,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,4,2,stata,0.316,,80920576,0.331382,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,4,3,baseline-dta,0.267,0.34,232128512,0.503562,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,4,4,baseline-arrow,0.071,0.093,265895936,0.25700199999999995,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,4,5,candidate-dta,0.264,0.337,232144896,0.500923,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,5,1,stata,0.316,,80838656,0.332261,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,5,2,baseline-dta,0.264,0.337,232062976,0.5015609999999999,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,5,3,baseline-arrow,0.071,0.093,265895936,0.256399,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,5,4,candidate-dta,0.265,0.337,232030208,0.501843,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,5,5,candidate-arrow,0.07,0.088,266108928,0.251762,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,6,1,stata,0.315,,80986112,0.331229,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,6,2,candidate-arrow,0.071,0.088,264814592,0.252318,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,6,3,candidate-dta,0.264,0.337,232226816,0.5003949999999999,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,6,4,baseline-arrow,0.071,0.093,265912320,0.257662,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,6,5,baseline-dta,0.265,0.338,232128512,0.506293,
screen-arrow-copy,mixed-all,all,fresh,1,1,1,baseline-dta,0.017,0.021,110821376,0.183527,
screen-arrow-copy,mixed-all,all,fresh,1,1,2,baseline-arrow,0.016,0.021,111230976,0.17834799999999998,
screen-arrow-copy,mixed-all,all,fresh,1,1,3,candidate-dta,0.017,0.022,108822528,0.177843,
screen-arrow-copy,mixed-all,all,fresh,1,1,4,candidate-arrow,0.016,0.021,111132672,0.177415,
screen-arrow-copy,mixed-all,all,fresh,1,1,5,stata,0.0,,40484864,0.016544,
screen-arrow-copy,mixed-all,all,fresh,1,2,1,baseline-arrow,0.016,0.022,111116288,0.177003,
screen-arrow-copy,mixed-all,all,fresh,1,2,2,candidate-dta,0.017,0.022,108806144,0.177162,
screen-arrow-copy,mixed-all,all,fresh,1,2,3,candidate-arrow,0.016,0.021,111165440,0.176903,
screen-arrow-copy,mixed-all,all,fresh,1,2,4,stata,0.001,,40517632,0.01655,
screen-arrow-copy,mixed-all,all,fresh,1,2,5,baseline-dta,0.017,0.022,108658688,0.17685499999999998,
screen-arrow-copy,mixed-all,all,fresh,1,3,1,candidate-dta,0.018,0.022,108756992,0.176834,
screen-arrow-copy,mixed-all,all,fresh,1,3,2,candidate-arrow,0.016,0.022,111083520,0.177314,
screen-arrow-copy,mixed-all,all,fresh,1,3,3,stata,0.001,,40484864,0.016742,
screen-arrow-copy,mixed-all,all,fresh,1,3,4,baseline-dta,0.017,0.021,108527616,0.177811,
screen-arrow-copy,mixed-all,all,fresh,1,3,5,baseline-arrow,0.017,0.022,111050752,0.177081,
screen-arrow-copy,mixed-all,all,fresh,1,4,1,candidate-arrow,0.016,0.02,111165440,0.17635099999999998,
screen-arrow-copy,mixed-all,all,fresh,1,4,2,stata,0.001,,40435712,0.016679,
screen-arrow-copy,mixed-all,all,fresh,1,4,3,baseline-dta,0.018,0.021,108478464,0.17718599999999998,
screen-arrow-copy,mixed-all,all,fresh,1,4,4,baseline-arrow,0.017,0.022,111149056,0.17770799999999998,
