run,case,mode,cohort,method,observations,median_seconds,min_seconds,max_seconds,stata_median_seconds,median_peak_rss_bytes,median_cpu_seconds,parity,timer_resolved
screen-default,mixed-all,fresh,1,candidate-arrow,6,0.0165,0.016,0.017,0.001,111157248.0,0.022,False,
screen-default,mixed-all,fresh,1,candidate-dta,6,0.017,0.017,0.018,0.001,108756992.0,0.022,False,
screen-default,mixed-all,fresh,1,stata,6,0.001,0.001,0.001,0.001,40493056.0,,False,
screen-dta-ring2,100mb-all,fresh,1,baseline-arrow,6,0.032,0.03,0.033,0.01,380592128.0,0.1005,False,
screen-dta-ring2,100mb-all,fresh,1,baseline-dta,6,0.048,0.047,0.049,0.01,292659200.0,0.1445,False,
screen-dta-ring2,100mb-all,fresh,1,candidate-arrow,6,0.032,0.031,0.032,0.01,382009344.0,0.0995,False,
screen-dta-ring2,100mb-all,fresh,1,candidate-dta,6,0.0455,0.045,0.046,0.01,292757504.0,0.145,False,
screen-dta-ring2,100mb-all,fresh,1,stata,6,0.01,0.01,0.012,0.01,144654336.0,,False,
screen-dta-ring2,india-30-scattered-known,fresh,1,baseline-arrow,6,0.0715,0.071,0.072,0.316,265863168.0,0.092,False,
screen-dta-ring2,india-30-scattered-known,fresh,1,baseline-dta,6,0.266,0.265,0.302,0.316,232161280.0,0.34,False,
screen-dta-ring2,india-30-scattered-known,fresh,1,candidate-arrow,6,0.07050000000000001,0.07,0.074,0.316,264749056.0,0.093,False,
screen-dta-ring2,india-30-scattered-known,fresh,1,candidate-dta,6,0.265,0.264,0.28,0.316,232128512.0,0.3385,False,
screen-dta-ring2,india-30-scattered-known,fresh,1,stata,6,0.316,0.314,0.33,0.316,80855040.0,,False,
screen-dta-ring2,india-all,fresh,1,baseline-arrow,6,0.5734999999999999,0.569,0.589,0.474,10279649280.0,4.4985,False,
screen-dta-ring2,india-all,fresh,1,baseline-dta,6,0.7475,0.742,0.75,0.474,5236883456.0,5.33,False,
screen-dta-ring2,india-all,fresh,1,candidate-arrow,6,0.5754999999999999,0.569,0.716,0.474,10279804928.0,4.5315,False,
screen-dta-ring2,india-all,fresh,1,candidate-dta,6,0.7244999999999999,0.721,0.732,0.474,5237989376.0,5.4005,False,
screen-dta-ring2,india-all,fresh,1,stata,6,0.474,0.471,0.528,0.474,5256814592.0,,False,
screen-dta-ring2,mixed-all,fresh,1,baseline-arrow,6,0.017,0.016,0.017,0.001,111132672.0,0.022,False,
screen-dta-ring2,mixed-all,fresh,1,baseline-dta,6,0.0175,0.017,0.018,0.001,108601344.0,0.022,False,
screen-dta-ring2,mixed-all,fresh,1,candidate-arrow,6,0.0165,0.016,0.017,0.001,111124480.0,0.0215,False,
screen-dta-ring2,mixed-all,fresh,1,candidate-dta,6,0.017,0.017,0.018,0.001,108797952.0,0.022,False,
screen-dta-ring2,mixed-all,fresh,1,stata,6,0.001,0.0,0.001,0.001,40476672.0,,False,
screen-dta-ring4,100mb-all,fresh,1,baseline-arrow,6,0.032,0.031,0.032,0.01,381321216.0,0.099,False,
screen-dta-ring4,100mb-all,fresh,1,baseline-dta,6,0.048,0.047,0.048,0.01,293199872.0,0.1445,False,
screen-dta-ring4,100mb-all,fresh,1,candidate-arrow,6,0.0305,0.03,0.032,0.01,378249216.0,0.097,False,
screen-dta-ring4,100mb-all,fresh,1,candidate-dta,6,0.0505,0.049,0.052,0.01,303308800.0,0.157,False,
screen-dta-ring4,100mb-all,fresh,1,stata,6,0.01,0.01,0.01,0.01,144654336.0,,False,
screen-dta-ring4,india-30-scattered-known,fresh,1,baseline-arrow,6,0.0715,0.071,0.074,0.316,265945088.0,0.094,False,
screen-dta-ring4,india-30-scattered-known,fresh,1,baseline-dta,6,0.265,0.264,0.266,0.316,232153088.0,0.338,False,
screen-dta-ring4,india-30-scattered-known,fresh,1,candidate-arrow,6,0.071,0.07,0.071,0.316,265207808.0,0.092,False,
screen-dta-ring4,india-30-scattered-known,fresh,1,candidate-dta,6,0.283,0.281,0.288,0.316,249044992.0,0.365,False,
screen-dta-ring4,india-30-scattered-known,fresh,1,stata,6,0.316,0.314,0.32,0.316,80879616.0,,False,
screen-dta-ring4,india-all,fresh,1,baseline-arrow,6,0.5745,0.57,0.578,0.472,10279583744.0,4.4990000000000006,False,
screen-dta-ring4,india-all,fresh,1,baseline-dta,6,0.747,0.744,0.756,0.472,5235359744.0,5.3075,False,
screen-dta-ring4,india-all,fresh,1,candidate-arrow,6,0.5745,0.569,0.581,0.472,10281099264.0,4.518000000000001,False,
screen-dta-ring4,india-all,fresh,1,candidate-dta,6,0.7055,0.696,0.735,0.472,5253971968.0,5.759,False,
screen-dta-ring4,india-all,fresh,1,stata,6,0.472,0.471,0.475,0.472,5256773632.0,,False,
screen-dta-ring4,mixed-all,fresh,1,baseline-arrow,6,0.0165,0.016,0.018,0.001,111017984.0,0.0215,False,
screen-dta-ring4,mixed-all,fresh,1,baseline-dta,6,0.017,0.017,0.017,0.001,108609536.0,0.021,False,
screen-dta-ring4,mixed-all,fresh,1,candidate-arrow,6,0.016,0.016,0.017,0.001,111173632.0,0.021,False,
screen-dta-ring4,mixed-all,fresh,1,candidate-dta,6,0.0175,0.017,0.018,0.001,108814336.0,0.0215,False,
screen-dta-ring4,mixed-all,fresh,1,stata,6,0.001,0.0,0.001,0.001,40476672.0,,False,
screen-dta-wide,100mb-all,fresh,1,baseline-arrow,6,0.031,0.03,0.033,0.01,379813888.0,0.0975,False,
screen-dta-wide,100mb-all,fresh,1,baseline-dta,6,0.047,0.047,0.048,0.01,293683200.0,0.145,False,
screen-dta-wide,100mb-all,fresh,1,candidate-arrow,6,0.0305,0.03,0.031,0.01,380616704.0,0.0975,False,
screen-dta-wide,100mb-all,fresh,1,candidate-dta,6,0.046,0.046,0.048,0.01,295247872.0,0.134,False,
screen-dta-wide,100mb-all,fresh,1,stata,6,0.01,0.01,0.011,0.01,144654336.0,,False,
screen-dta-wide,india-30-scattered-known,fresh,1,baseline-arrow,6,0.071,0.071,0.072,0.316,265863168.0,0.094,False,
screen-dta-wide,india-30-scattered-known,fresh,1,baseline-dta,6,0.2645,0.263,0.268,0.316,232185856.0,0.338,False,
screen-dta-wide,india-30-scattered-known,fresh,1,candidate-arrow,6,0.071,0.07,0.072,0.316,265838592.0,0.093,False,
screen-dta-wide,india-30-scattered-known,fresh,1,candidate-dta,6,0.265,0.264,0.268,0.316,232292352.0,0.331,False,
screen-dta-wide,india-30-scattered-known,fresh,1,stata,6,0.316,0.315,0.321,0.316,80879616.0,,False,
screen-dta-wide,india-all,fresh,1,baseline-arrow,6,0.5725,0.566,0.577,0.473,10279968768.0,4.4885,False,
screen-dta-wide,india-all,fresh,1,baseline-dta,6,0.751,0.745,0.762,0.473,5235376128.0,5.366,False,
screen-dta-wide,india-all,fresh,1,candidate-arrow,6,0.57,0.569,0.579,0.473,10280951808.0,4.4935,False,
screen-dta-wide,india-all,fresh,1,candidate-dta,6,0.711,0.703,0.717,0.473,5236137984.0,4.9785,False,
screen-dta-wide,india-all,fresh,1,stata,6,0.473,0.472,0.476,0.473,5256798208.0,,False,
