run,case,reader,workload,variant,median_elapsed_seconds,min_elapsed_seconds,max_elapsed_seconds,median_load_seconds,min_load_seconds,max_load_seconds,median_workflow_seconds,min_workflow_seconds,max_workflow_seconds,median_cpu_seconds,min_cpu_seconds,max_cpu_seconds,median_peak_rss_bytes,min_peak_rss_bytes,max_peak_rss_bytes
downstream-v3,100mb-all,arrow,sparse,candidate,0.006,0.006,0.007,0.03,0.029,0.032,0.036,0.036,0.039,0.006,0.006,0.007,362954752.0,362496000,367132672
downstream-v3,100mb-all,arrow,traverse,baseline,0.024,0.023,0.024,0.029,0.028,0.03,0.053,0.052,0.054,0.051,0.05,0.052,430964736.0,429211648,432422912
downstream-v3,100mb-all,arrow,traverse,candidate,0.0235,0.023,0.024,0.029,0.028,0.03,0.053,0.052,0.054,0.051,0.05,0.052,416972800.0,415268864,417742848
downstream-v3,100mb-all,arrow,first_write,baseline,0.002,0.001,0.002,0.028,0.027,0.03,0.093,0.091,0.095,0.001,0.001,0.002,477011968.0,472023040,486408192
downstream-v3,100mb-all,arrow,first_write,candidate,0.002,0.002,0.002,0.029,0.027,0.031,0.072,0.071,0.074,0.002,0.002,0.003,464166912.0,462405632,469041152
downstream-v3,100mb-all,arrow,r_vector,baseline,0.004,0.004,0.005,0.0285,0.028,0.033,0.033,0.032,0.038,0.004,0.004,0.005,379584512.0,376848384,382140416
downstream-v3,100mb-all,arrow,r_vector,candidate,0.005,0.005,0.005,0.029,0.028,0.03,0.035,0.034,0.035,0.0055,0.005,0.006,363634688.0,360415232,365281280
downstream-v3,india-all,dta,sparse,baseline,0.016,0.016,0.016,0.7415,0.737,0.756,0.7795000000000001,0.775,0.794,0.015,0.015,0.016,5235605504.0,5233524736,5237014528
downstream-v3,india-all,dta,sparse,candidate,0.017,0.017,0.018,0.6134999999999999,0.608,0.621,0.6535,0.647,0.661,0.017,0.017,0.018,5237579776.0,5236080640,5239177216
downstream-v3,india-all,dta,traverse,baseline,0.715,0.711,0.718,0.744,0.738,0.754,1.4795,1.473,1.493,1.008,1.006,1.013,5545680896.0,5540954112,5548507136
downstream-v3,india-all,dta,traverse,candidate,0.7244999999999999,0.709,0.726,0.609,0.6,0.622,1.351,1.34,1.369,1.0205,1.004,1.022,5551325184.0,5546409984,5556158464
downstream-v3,india-all,dta,first_write,baseline,0.006,0.006,0.006,0.7404999999999999,0.738,0.746,1.2385000000000002,1.234,1.242,0.0055,0.005,0.006,10280148992.0,10278223872,10288627712
downstream-v3,india-all,dta,first_write,candidate,0.006,0.006,0.006,0.611,0.609,0.614,1.1099999999999999,1.105,1.121,0.0059999999999995005,0.005,0.006,10282196992.0,10277224448,10285678592
downstream-v3,india-all,dta,r_vector,baseline,0.014,0.013,0.015,0.744,0.74,0.752,0.78,0.776,0.788,0.014,0.014,0.015,5251399680.0,5249466368,5253070848
downstream-v3,india-all,dta,r_vector,candidate,0.013,0.013,0.014,0.61,0.603,0.614,0.6465000000000001,0.639,0.649,0.013,0.012,0.014,5252366336.0,5248974848,5255839744
downstream-v3,india-all,arrow,sparse,baseline,0.016,0.015,0.017,0.57,0.564,0.578,0.592,0.587,0.603,0.015,0.015,0.016,10279755776.0,10277322752,10283974656
downstream-v3,india-all,arrow,sparse,candidate,0.0175,0.017,0.018,0.289,0.287,0.294,0.31,0.308,0.315,0.018,0.017,0.018,5400985600.0,5400166400,5403181056
downstream-v3,india-all,arrow,traverse,baseline,0.707,0.698,0.712,0.5654999999999999,0.563,0.569,1.2785,1.271,1.286,0.999,0.99,1.004,10557775872.0,10551934976,10567827456
downstream-v3,india-all,arrow,traverse,candidate,0.685,0.677,0.695,0.2875,0.285,0.289,0.976,0.967,0.986,0.9924999999999999,0.985,1.002,5627142144.0,5618073600,5627592704
downstream-v3,india-all,arrow,first_write,baseline,0.0315,0.03,0.035,0.567,0.565,0.574,1.0510000000000002,1.045,1.064,0.032,0.031,0.035,13421084672.0,13327646720,13490520064
downstream-v3,india-all,arrow,first_write,candidate,0.011,0.011,0.011,0.289,0.286,0.29,0.511,0.507,0.525,0.011,0.01,0.012,5511692288.0,5507940352,5515706368
downstream-v3,india-all,arrow,r_vector,baseline,0.013,0.013,0.013,0.5654999999999999,0.564,0.573,0.5854999999999999,0.583,0.593,0.0125,0.012,0.014,10290749440.0,10289266688,10293067776
downstream-v3,india-all,arrow,r_vector,candidate,0.016,0.016,0.017,0.2875,0.285,0.293,0.307,0.305,0.313,0.016,0.015,0.017,5399814144.0,5396955136,5406441472
downstream-v3,india-30-scattered-known,dta,sparse,baseline,0.026,0.025,0.026,0.264,0.263,0.266,0.29,0.289,0.292,0.026,0.025,0.026,231112704.0,230932480,232718336
